REF_AREA,INDICATOR,SEX,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REF_DATE
Germany,Infant deaths,Total,1985-06,7816,Number of deaths,1985.5
Germany,Infant deaths,Total,1986-06,7442,Number of deaths,1986.5
Germany,Infant deaths,Total,1987-06,7058,Number of deaths,1987.5
Germany,Infant deaths,Total,1988-06,6656,Number of deaths,1988.5
Germany,Infant deaths,Total,1989-06,6240,Number of deaths,1989.5
Germany,Infant deaths,Total,1990-06,5815,Number of deaths,1990.5
Germany,Infant deaths,Total,1991-06,5403,Number of deaths,1991.5
Germany,Infant deaths,Total,1992-06,5019,Number of deaths,1992.5
Germany,Infant deaths,Total,1993-06,4679,Number of deaths,1993.5
Germany,Infant deaths,Total,1994-06,4387,Number of deaths,1994.5
Germany,Infant deaths,Total,1995-06,4142,Number of deaths,1995.5
Germany,Infant deaths,Total,1996-06,3934,Number of deaths,1996.5
Germany,Infant deaths,Total,1997-06,3753,Number of deaths,1997.5
Germany,Infant deaths,Total,1998-06,3589,Number of deaths,1998.5
Germany,Infant deaths,Total,1999-06,3439,Number of deaths,1999.5
Germany,Infant deaths,Total,2000-06,3300,Number of deaths,2000.5
Germany,Infant deaths,Total,2001-06,3169,Number of deaths,2001.5
Germany,Infant deaths,Total,2002-06,3045,Number of deaths,2002.5
Germany,Infant deaths,Total,2003-06,2929,Number of deaths,2003.5
Germany,Infant deaths,Total,2004-06,2819,Number of deaths,2004.5
Germany,Infant deaths,Total,2005-06,2714,Number of deaths,2005.5
Germany,Infant deaths,Total,2006-06,2618,Number of deaths,2006.5
Germany,Infant deaths,Total,2007-06,2531,Number of deaths,2007.5
Germany,Infant deaths,Total,2008-06,2456,Number of deaths,2008.5
Germany,Infant deaths,Total,2009-06,2393,Number of deaths,2009.5
Germany,Infant deaths,Total,2010-06,2346,Number of deaths,2010.5
Germany,Infant deaths,Total,2011-06,2317,Number of deaths,2011.5
Germany,Infant deaths,Total,2012-06,2306,Number of deaths,2012.5
Germany,Infant deaths,Total,2013-06,2311,Number of deaths,2013.5
Germany,Infant deaths,Total,2014-06,2330,Number of deaths,2014.5
Germany,Infant deaths,Total,2015-06,2357,Number of deaths,2015.5
Germany,Infant deaths,Total,2016-06,2382,Number of deaths,2016.5
Germany,Infant deaths,Total,2017-06,2394,Number of deaths,2017.5
Germany,Infant deaths,Total,2018-06,2385,Number of deaths,2018.5
Germany,Infant mortality rate,Female,1968-06,20.23631153,Deaths per 1000 live births,1968.5
Germany,Infant mortality rate,Female,1969-06,19.61126602,Deaths per 1000 live births,1969.5
Germany,Infant mortality rate,Female,1970-06,19.01488513,Deaths per 1000 live births,1970.5
Germany,Infant mortality rate,Female,1971-06,18.40315895,Deaths per 1000 live births,1971.5
Germany,Infant mortality rate,Female,1972-06,17.70344454,Deaths per 1000 live births,1972.5
Germany,Infant mortality rate,Female,1973-06,16.89395156,Deaths per 1000 live births,1973.5
Germany,Infant mortality rate,Female,1974-06,16.07297314,Deaths per 1000 live births,1974.5
Germany,Infant mortality rate,Female,1975-06,15.20984208,Deaths per 1000 live births,1975.5
Germany,Infant mortality rate,Female,1976-06,14.27633102,Deaths per 1000 live births,1976.5
Germany,Infant mortality rate,Female,1977-06,13.35490222,Deaths per 1000 live births,1977.5
Germany,Infant mortality rate,Female,1978-06,12.4580977,Deaths per 1000 live births,1978.5
Germany,Infant mortality rate,Female,1979-06,11.63353627,Deaths per 1000 live births,1979.5
Germany,Infant mortality rate,Female,1980-06,10.88526502,Deaths per 1000 live births,1980.5
Germany,Infant mortality rate,Female,1981-06,10.18116563,Deaths per 1000 live births,1981.5
Germany,Infant mortality rate,Female,1982-06,9.556645151,Deaths per 1000 live births,1982.5
Germany,Infant mortality rate,Female,1983-06,8.987644886,Deaths per 1000 live births,1983.5
Germany,Infant mortality rate,Female,1984-06,8.473453852,Deaths per 1000 live births,1984.5
Germany,Infant mortality rate,Female,1985-06,8.007883437,Deaths per 1000 live births,1985.5
Germany,Infant mortality rate,Female,1986-06,7.550209398,Deaths per 1000 live births,1986.5
Germany,Infant mortality rate,Female,1987-06,7.138801777,Deaths per 1000 live births,1987.5
Germany,Infant mortality rate,Female,1988-06,6.727125527,Deaths per 1000 live births,1988.5
Germany,Infant mortality rate,Female,1989-06,6.382532889,Deaths per 1000 live births,1989.5
Germany,Infant mortality rate,Female,1990-06,6.033682095,Deaths per 1000 live births,1990.5
Germany,Infant mortality rate,Female,1991-06,5.70550545,Deaths per 1000 live births,1991.5
Germany,Infant mortality rate,Female,1992-06,5.42035182,Deaths per 1000 live births,1992.5
Germany,Infant mortality rate,Female,1993-06,5.119361901,Deaths per 1000 live births,1993.5
Germany,Infant mortality rate,Female,1994-06,4.85370346,Deaths per 1000 live births,1994.5
Germany,Infant mortality rate,Female,1995-06,4.646267256,Deaths per 1000 live births,1995.5
Germany,Infant mortality rate,Female,1996-06,4.441061965,Deaths per 1000 live births,1996.5
Germany,Infant mortality rate,Female,1997-06,4.267429458,Deaths per 1000 live births,1997.5
Germany,Infant mortality rate,Female,1998-06,4.120334431,Deaths per 1000 live births,1998.5
Germany,Infant mortality rate,Female,1999-06,4.004602153,Deaths per 1000 live births,1999.5
Germany,Infant mortality rate,Female,2000-06,3.898492753,Deaths per 1000 live births,2000.5
Germany,Infant mortality rate,Female,2001-06,3.808513692,Deaths per 1000 live births,2001.5
Germany,Infant mortality rate,Female,2002-06,3.734734781,Deaths per 1000 live births,2002.5
Germany,Infant mortality rate,Female,2003-06,3.655384607,Deaths per 1000 live births,2003.5
Germany,Infant mortality rate,Female,2004-06,3.577674877,Deaths per 1000 live births,2004.5
Germany,Infant mortality rate,Female,2005-06,3.4936615,Deaths per 1000 live births,2005.5
Germany,Infant mortality rate,Female,2006-06,3.412861938,Deaths per 1000 live births,2006.5
Germany,Infant mortality rate,Female,2007-06,3.328299791,Deaths per 1000 live births,2007.5
Germany,Infant mortality rate,Female,2008-06,3.252614281,Deaths per 1000 live births,2008.5
Germany,Infant mortality rate,Female,2009-06,3.186439199,Deaths per 1000 live births,2009.5
Germany,Infant mortality rate,Female,2010-06,3.133988957,Deaths per 1000 live births,2010.5
Germany,Infant mortality rate,Female,2011-06,3.087521301,Deaths per 1000 live births,2011.5
Germany,Infant mortality rate,Female,2012-06,3.047585043,Deaths per 1000 live births,2012.5
Germany,Infant mortality rate,Female,2013-06,3.010450285,Deaths per 1000 live births,2013.5
Germany,Infant mortality rate,Female,2014-06,2.982185533,Deaths per 1000 live births,2014.5
Germany,Infant mortality rate,Female,2015-06,2.957844597,Deaths per 1000 live births,2015.5
Germany,Infant mortality rate,Female,2016-06,2.922307346,Deaths per 1000 live births,2016.5
Germany,Infant mortality rate,Female,2017-06,2.87678366,Deaths per 1000 live births,2017.5
Germany,Infant mortality rate,Female,2018-06,2.822204151,Deaths per 1000 live births,2018.5
Germany,Infant mortality rate,Male,1968-06,26.51170716,Deaths per 1000 live births,1968.5
Germany,Infant mortality rate,Male,1969-06,25.74722081,Deaths per 1000 live births,1969.5
Germany,Infant mortality rate,Male,1970-06,24.9717837,Deaths per 1000 live births,1970.5
Germany,Infant mortality rate,Male,1971-06,24.15489715,Deaths per 1000 live births,1971.5
Germany,Infant mortality rate,Male,1972-06,23.30852991,Deaths per 1000 live births,1972.5
Germany,Infant mortality rate,Male,1973-06,22.39674254,Deaths per 1000 live births,1973.5
Germany,Infant mortality rate,Male,1974-06,21.29038142,Deaths per 1000 live births,1974.5
Germany,Infant mortality rate,Male,1975-06,20.04030896,Deaths per 1000 live births,1975.5
Germany,Infant mortality rate,Male,1976-06,18.77447145,Deaths per 1000 live births,1976.5
Germany,Infant mortality rate,Male,1977-06,17.52096836,Deaths per 1000 live births,1977.5
Germany,Infant mortality rate,Male,1978-06,16.33384398,Deaths per 1000 live births,1978.5
Germany,Infant mortality rate,Male,1979-06,15.22114799,Deaths per 1000 live births,1979.5
Germany,Infant mortality rate,Male,1980-06,14.19051533,Deaths per 1000 live births,1980.5
Germany,Infant mortality rate,Male,1981-06,13.27267359,Deaths per 1000 live births,1981.5
Germany,Infant mortality rate,Male,1982-06,12.41511111,Deaths per 1000 live births,1982.5
Germany,Infant mortality rate,Male,1983-06,11.65189661,Deaths per 1000 live births,1983.5
Germany,Infant mortality rate,Male,1984-06,10.97383178,Deaths per 1000 live births,1984.5
Germany,Infant mortality rate,Male,1985-06,10.37515086,Deaths per 1000 live births,1985.5
Germany,Infant mortality rate,Male,1986-06,9.859501363,Deaths per 1000 live births,1986.5
Germany,Infant mortality rate,Male,1987-06,9.352028169,Deaths per 1000 live births,1987.5
Germany,Infant mortality rate,Male,1988-06,8.882223295,Deaths per 1000 live births,1988.5
Germany,Infant mortality rate,Male,1989-06,8.370354327,Deaths per 1000 live births,1989.5
Germany,Infant mortality rate,Male,1990-06,7.880236488,Deaths per 1000 live births,1990.5
Germany,Infant mortality rate,Male,1991-06,7.403639294,Deaths per 1000 live births,1991.5
Germany,Infant mortality rate,Male,1992-06,6.936616561,Deaths per 1000 live births,1992.5
Germany,Infant mortality rate,Male,1993-06,6.542340621,Deaths per 1000 live births,1993.5
Germany,Infant mortality rate,Male,1994-06,6.190377445,Deaths per 1000 live births,1994.5
Germany,Infant mortality rate,Male,1995-06,5.8597109,Deaths per 1000 live births,1995.5
Germany,Infant mortality rate,Male,1996-06,5.595281416,Deaths per 1000 live births,1996.5
Germany,Infant mortality rate,Male,1997-06,5.364043254,Deaths per 1000 live births,1997.5
Germany,Infant mortality rate,Male,1998-06,5.164477136,Deaths per 1000 live births,1998.5
Germany,Infant mortality rate,Male,1999-06,4.985230766,Deaths per 1000 live births,1999.5
Germany,Infant mortality rate,Male,2000-06,4.841014167,Deaths per 1000 live births,2000.5
Germany,Infant mortality rate,Male,2001-06,4.715855208,Deaths per 1000 live births,2001.5
Germany,Infant mortality rate,Male,2002-06,4.59588461,Deaths per 1000 live births,2002.5
Germany,Infant mortality rate,Male,2003-06,4.495783007,Deaths per 1000 live births,2003.5
Germany,Infant mortality rate,Male,2004-06,4.392421718,Deaths per 1000 live births,2004.5
Germany,Infant mortality rate,Male,2005-06,4.290608055,Deaths per 1000 live births,2005.5
Germany,Infant mortality rate,Male,2006-06,4.182887474,Deaths per 1000 live births,2006.5
Germany,Infant mortality rate,Male,2007-06,4.082685706,Deaths per 1000 live births,2007.5
Germany,Infant mortality rate,Male,2008-06,3.984636073,Deaths per 1000 live births,2008.5
Germany,Infant mortality rate,Male,2009-06,3.889523279,Deaths per 1000 live births,2009.5
Germany,Infant mortality rate,Male,2010-06,3.800416184,Deaths per 1000 live births,2010.5
Germany,Infant mortality rate,Male,2011-06,3.72115231,Deaths per 1000 live births,2011.5
Germany,Infant mortality rate,Male,2012-06,3.651579008,Deaths per 1000 live births,2012.5
Germany,Infant mortality rate,Male,2013-06,3.5969677,Deaths per 1000 live births,2013.5
Germany,Infant mortality rate,Male,2014-06,3.546369121,Deaths per 1000 live births,2014.5
Germany,Infant mortality rate,Male,2015-06,3.502625967,Deaths per 1000 live births,2015.5
Germany,Infant mortality rate,Male,2016-06,3.46230765,Deaths per 1000 live births,2016.5
Germany,Infant mortality rate,Male,2017-06,3.408075153,Deaths per 1000 live births,2017.5
Germany,Infant mortality rate,Male,2018-06,3.342653372,Deaths per 1000 live births,2018.5
Germany,Infant mortality rate,Total,1968-06,23.45284531,Deaths per 1000 live births,1968.5
Germany,Infant mortality rate,Total,1969-06,22.7570355,Deaths per 1000 live births,1969.5
Germany,Infant mortality rate,Total,1970-06,22.06529549,Deaths per 1000 live births,1970.5
Germany,Infant mortality rate,Total,1971-06,21.34753065,Deaths per 1000 live births,1971.5
Germany,Infant mortality rate,Total,1972-06,20.57433747,Deaths per 1000 live births,1972.5
Germany,Infant mortality rate,Total,1973-06,19.70948342,Deaths per 1000 live births,1973.5
Germany,Infant mortality rate,Total,1974-06,18.74734214,Deaths per 1000 live births,1974.5
Germany,Infant mortality rate,Total,1975-06,17.6839543,Deaths per 1000 live births,1975.5
Germany,Infant mortality rate,Total,1976-06,16.58038109,Deaths per 1000 live births,1976.5
Germany,Infant mortality rate,Total,1977-06,15.48790844,Deaths per 1000 live births,1977.5
Germany,Infant mortality rate,Total,1978-06,14.44271972,Deaths per 1000 live births,1978.5
Germany,Infant mortality rate,Total,1979-06,13.47179958,Deaths per 1000 live births,1979.5
Germany,Infant mortality rate,Total,1980-06,12.57720234,Deaths per 1000 live births,1980.5
Germany,Infant mortality rate,Total,1981-06,11.76333352,Deaths per 1000 live births,1981.5
Germany,Infant mortality rate,Total,1982-06,11.02110881,Deaths per 1000 live births,1982.5
Germany,Infant mortality rate,Total,1983-06,10.35307169,Deaths per 1000 live births,1983.5
Germany,Infant mortality rate,Total,1984-06,9.753492525,Deaths per 1000 live births,1984.5
Germany,Infant mortality rate,Total,1985-06,9.220961054,Deaths per 1000 live births,1985.5
Germany,Infant mortality rate,Total,1986-06,8.732259332,Deaths per 1000 live births,1986.5
Germany,Infant mortality rate,Total,1987-06,8.272841655,Deaths per 1000 live births,1987.5
Germany,Infant mortality rate,Total,1988-06,7.830332138,Deaths per 1000 live births,1988.5
Germany,Infant mortality rate,Total,1989-06,7.400883331,Deaths per 1000 live births,1989.5
Germany,Infant mortality rate,Total,1990-06,6.979873677,Deaths per 1000 live births,1990.5
Germany,Infant mortality rate,Total,1991-06,6.576139711,Deaths per 1000 live births,1991.5
Germany,Infant mortality rate,Total,1992-06,6.195724046,Deaths per 1000 live births,1992.5
Germany,Infant mortality rate,Total,1993-06,5.848403351,Deaths per 1000 live births,1993.5
Germany,Infant mortality rate,Total,1994-06,5.538231585,Deaths per 1000 live births,1994.5
Germany,Infant mortality rate,Total,1995-06,5.267994088,Deaths per 1000 live births,1995.5
Germany,Infant mortality rate,Total,1996-06,5.032847684,Deaths per 1000 live births,1996.5
Germany,Infant mortality rate,Total,1997-06,4.829433604,Deaths per 1000 live births,1997.5
Germany,Infant mortality rate,Total,1998-06,4.655198575,Deaths per 1000 live births,1998.5
Germany,Infant mortality rate,Total,1999-06,4.506893365,Deaths per 1000 live births,1999.5
Germany,Infant mortality rate,Total,2000-06,4.381546365,Deaths per 1000 live births,2000.5
Germany,Infant mortality rate,Total,2001-06,4.273079566,Deaths per 1000 live births,2001.5
Germany,Infant mortality rate,Total,2002-06,4.17628847,Deaths per 1000 live births,2002.5
Germany,Infant mortality rate,Total,2003-06,4.085476836,Deaths per 1000 live births,2003.5
Germany,Infant mortality rate,Total,2004-06,3.995032714,Deaths per 1000 live births,2004.5
Germany,Infant mortality rate,Total,2005-06,3.901624079,Deaths per 1000 live births,2005.5
Germany,Infant mortality rate,Total,2006-06,3.808017978,Deaths per 1000 live births,2006.5
Germany,Infant mortality rate,Total,2007-06,3.715231247,Deaths per 1000 live births,2007.5
Germany,Infant mortality rate,Total,2008-06,3.627632258,Deaths per 1000 live births,2008.5
Germany,Infant mortality rate,Total,2009-06,3.546953971,Deaths per 1000 live births,2009.5
Germany,Infant mortality rate,Total,2010-06,3.475696515,Deaths per 1000 live births,2010.5
Germany,Infant mortality rate,Total,2011-06,3.412611789,Deaths per 1000 live births,2011.5
Germany,Infant mortality rate,Total,2012-06,3.357825181,Deaths per 1000 live births,2012.5
Germany,Infant mortality rate,Total,2013-06,3.310697347,Deaths per 1000 live births,2013.5
Germany,Infant mortality rate,Total,2014-06,3.271171904,Deaths per 1000 live births,2014.5
Germany,Infant mortality rate,Total,2015-06,3.237267496,Deaths per 1000 live births,2015.5
Germany,Infant mortality rate,Total,2016-06,3.198711957,Deaths per 1000 live births,2016.5
Germany,Infant mortality rate,Total,2017-06,3.15017908,Deaths per 1000 live births,2017.5
Germany,Infant mortality rate,Total,2018-06,3.087432934,Deaths per 1000 live births,2018.5
Germany,Infant mortality rate,Female,2016-07,,Deaths per 1000 live births,2016.5
Germany,Infant mortality rate,Female,2015-07,3.107905468,Deaths per 1000 live births,2015.5
Germany,Infant mortality rate,Female,2014-07,2.985799887,Deaths per 1000 live births,2014.5
Germany,Infant mortality rate,Female,2013-07,2.96351914,Deaths per 1000 live births,2013.5
Germany,Infant mortality rate,Female,2012-07,3.046395532,Deaths per 1000 live births,2012.5
Germany,Infant mortality rate,Female,2011-07,3.236246942,Deaths per 1000 live births,2011.5
Germany,Infant mortality rate,Female,2010-07,3.131328146,Deaths per 1000 live births,2010.5
Germany,Infant mortality rate,Female,2009-07,3.021345273,Deaths per 1000 live births,2009.5
Germany,Infant mortality rate,Female,2008-07,3.09123451,Deaths per 1000 live births,2008.5
Germany,Infant mortality rate,Female,2007-07,3.434816361,Deaths per 1000 live births,2007.5
Germany,Infant mortality rate,Female,2006-07,3.46692553,Deaths per 1000 live births,2006.5
Germany,Infant mortality rate,Female,2005-07,3.398983248,Deaths per 1000 live births,2005.5
Germany,Infant mortality rate,Female,2004-07,3.738473885,Deaths per 1000 live births,2004.5
Germany,Infant mortality rate,Female,2003-07,3.706523769,Deaths per 1000 live births,2003.5
Germany,Infant mortality rate,Female,2002-07,3.849064813,Deaths per 1000 live births,2002.5
Germany,Infant mortality rate,Female,2001-07,3.676428475,Deaths per 1000 live births,2001.5
Germany,Infant mortality rate,Female,2000-07,3.849642809,Deaths per 1000 live births,2000.5
Germany,Infant mortality rate,Female,1999-07,3.993000134,Deaths per 1000 live births,1999.5
Germany,Infant mortality rate,Female,1998-07,4.050576021,Deaths per 1000 live births,1998.5
Germany,Infant mortality rate,Female,1997-07,4.302559221,Deaths per 1000 live births,1997.5
Germany,Infant mortality rate,Female,1996-07,4.430799563,Deaths per 1000 live births,1996.5
Germany,Infant mortality rate,Female,1995-07,4.611206485,Deaths per 1000 live births,1995.5
Germany,Infant mortality rate,Female,1994-07,4.843727764,Deaths per 1000 live births,1994.5
Germany,Infant mortality rate,Female,1993-07,5.019282877,Deaths per 1000 live births,1993.5
Germany,Infant mortality rate,Female,1992-07,5.321543253,Deaths per 1000 live births,1992.5
Germany,Infant mortality rate,Female,1991-07,5.714436094,Deaths per 1000 live births,1991.5
Germany,Infant mortality rate,Female,1990-07,6.174720255,Deaths per 1000 live births,1990.5
Germany,Infant mortality rate,Female,1989-07,6.246440448,Deaths per 1000 live births,1989.5
Germany,Infant mortality rate,Female,1988-07,6.481884341,Deaths per 1000 live births,1988.5
Germany,Infant mortality rate,Female,1987-07,7.351521095,Deaths per 1000 live births,1987.5
Germany,Infant mortality rate,Female,1986-07,7.669803659,Deaths per 1000 live births,1986.5
Germany,Infant mortality rate,Female,1985-07,7.960332979,Deaths per 1000 live births,1985.5
Germany,Infant mortality rate,Female,1984-07,8.484920844,Deaths per 1000 live births,1984.5
Germany,Infant mortality rate,Female,1983-07,8.74242049,Deaths per 1000 live births,1983.5
Germany,Infant mortality rate,Female,1982-07,9.615848128,Deaths per 1000 live births,1982.5
Germany,Infant mortality rate,Female,1981-07,10.07960152,Deaths per 1000 live births,1981.5
Germany,Infant mortality rate,Female,1980-07,11.08632407,Deaths per 1000 live births,1980.5
Germany,Infant mortality rate,Female,1978-07,12.17077825,Deaths per 1000 live births,1978.5
Germany,Infant mortality rate,Female,1977-07,12.87080818,Deaths per 1000 live births,1977.5
Germany,Infant mortality rate,Female,1976-07,14.41230851,Deaths per 1000 live births,1976.5
Germany,Infant mortality rate,Female,1975-07,16.05004616,Deaths per 1000 live births,1975.5
Germany,Infant mortality rate,Female,1974-07,16.93543065,Deaths per 1000 live births,1974.5
Germany,Infant mortality rate,Female,1973-07,17.11478458,Deaths per 1000 live births,1973.5
Germany,Infant mortality rate,Female,1972-07,17.23712883,Deaths per 1000 live births,1972.5
Germany,Infant mortality rate,Female,1971-07,18.87788665,Deaths per 1000 live births,1971.5
Germany,Infant mortality rate,Female,1970-07,18.75103717,Deaths per 1000 live births,1970.5
Germany,Infant mortality rate,Female,1969-07,18.92281522,Deaths per 1000 live births,1969.5
Germany,Infant mortality rate,Male,2016-07,,Deaths per 1000 live births,2016.5
Germany,Infant mortality rate,Male,2015-07,3.447411557,Deaths per 1000 live births,2015.5
Germany,Infant mortality rate,Male,2014-07,3.51180762,Deaths per 1000 live births,2014.5
Germany,Infant mortality rate,Male,2013-07,3.631726857,Deaths per 1000 live births,2013.5
Germany,Infant mortality rate,Male,2012-07,3.507820522,Deaths per 1000 live births,2012.5
Germany,Infant mortality rate,Male,2011-07,3.907085051,Deaths per 1000 live births,2011.5
Germany,Infant mortality rate,Male,2010-07,3.747774216,Deaths per 1000 live births,2010.5
Germany,Infant mortality rate,Male,2009-07,3.861370178,Deaths per 1000 live births,2009.5
Germany,Infant mortality rate,Male,2008-07,3.919065758,Deaths per 1000 live births,2008.5
Germany,Infant mortality rate,Male,2007-07,4.333945644,Deaths per 1000 live births,2007.5
Germany,Infant mortality rate,Male,2006-07,4.082622684,Deaths per 1000 live births,2006.5
Germany,Infant mortality rate,Male,2005-07,4.304650839,Deaths per 1000 live births,2005.5
Germany,Infant mortality rate,Male,2004-07,4.483205318,Deaths per 1000 live births,2004.5
Germany,Infant mortality rate,Male,2003-07,4.628154972,Deaths per 1000 live births,2003.5
Germany,Infant mortality rate,Male,2002-07,4.450971351,Deaths per 1000 live births,2002.5
Germany,Infant mortality rate,Male,2001-07,4.687784512,Deaths per 1000 live births,2001.5
Germany,Infant mortality rate,Male,2000-07,4.836935719,Deaths per 1000 live births,2000.5
Germany,Infant mortality rate,Male,1999-07,4.932956635,Deaths per 1000 live births,1999.5
Germany,Infant mortality rate,Male,1998-07,5.079263499,Deaths per 1000 live births,1998.5
Germany,Infant mortality rate,Male,1997-07,5.446649347,Deaths per 1000 live births,1997.5
Germany,Infant mortality rate,Male,1996-07,5.637090467,Deaths per 1000 live births,1996.5
Germany,Infant mortality rate,Male,1995-07,5.864368561,Deaths per 1000 live births,1995.5
Germany,Infant mortality rate,Male,1994-07,6.059130596,Deaths per 1000 live births,1994.5
Germany,Infant mortality rate,Male,1993-07,6.461957062,Deaths per 1000 live births,1993.5
Germany,Infant mortality rate,Male,1992-07,6.721426687,Deaths per 1000 live births,1992.5
Germany,Infant mortality rate,Male,1991-07,7.297189214,Deaths per 1000 live births,1991.5
Germany,Infant mortality rate,Male,1990-07,8.16240554,Deaths per 1000 live births,1990.5
Germany,Infant mortality rate,Male,1989-07,8.405230482,Deaths per 1000 live births,1989.5
Germany,Infant mortality rate,Male,1988-07,8.87210849,Deaths per 1000 live births,1988.5
Germany,Infant mortality rate,Male,1987-07,9.682116778,Deaths per 1000 live births,1987.5
Germany,Infant mortality rate,Male,1986-07,9.968605774,Deaths per 1000 live births,1986.5
Germany,Infant mortality rate,Male,1985-07,10.15444256,Deaths per 1000 live births,1985.5
Germany,Infant mortality rate,Male,1984-07,10.71287529,Deaths per 1000 live births,1984.5
Germany,Infant mortality rate,Male,1983-07,11.47299897,Deaths per 1000 live births,1983.5
Germany,Infant mortality rate,Male,1982-07,12.37513269,Deaths per 1000 live births,1982.5
Germany,Infant mortality rate,Male,1981-07,13.26243791,Deaths per 1000 live births,1981.5
Germany,Infant mortality rate,Male,1980-07,14.2751113,Deaths per 1000 live births,1980.5
Germany,Infant mortality rate,Male,1978-07,16.11714889,Deaths per 1000 live births,1978.5
Germany,Infant mortality rate,Male,1977-07,16.73919463,Deaths per 1000 live births,1977.5
Germany,Infant mortality rate,Male,1976-07,18.96401088,Deaths per 1000 live births,1976.5
Germany,Infant mortality rate,Male,1975-07,20.96331987,Deaths per 1000 live births,1975.5
Germany,Infant mortality rate,Male,1974-07,22.63152518,Deaths per 1000 live births,1974.5
Germany,Infant mortality rate,Male,1973-07,23.0568309,Deaths per 1000 live births,1973.5
Germany,Infant mortality rate,Male,1972-07,22.56454795,Deaths per 1000 live births,1972.5
Germany,Infant mortality rate,Male,1971-07,24.59148386,Deaths per 1000 live births,1971.5
Germany,Infant mortality rate,Male,1970-07,24.65543808,Deaths per 1000 live births,1970.5
Germany,Infant mortality rate,Male,1969-07,24.91508633,Deaths per 1000 live births,1969.5
Germany,Infant mortality rate,Total,2015-07,3.28222569,Deaths per 1000 live births,2015.5
Germany,Infant mortality rate,Total,2014-07,3.255668627,Deaths per 1000 live births,2014.5
Germany,Infant mortality rate,Total,2013-07,3.306353489,Deaths per 1000 live births,2013.5
Germany,Infant mortality rate,Total,2012-07,3.28311842,Deaths per 1000 live births,2012.5
Germany,Infant mortality rate,Total,2011-07,3.580098459,Deaths per 1000 live births,2011.5
Germany,Infant mortality rate,Total,2010-07,3.447319553,Deaths per 1000 live births,2010.5
Germany,Infant mortality rate,Total,2009-07,3.452194939,Deaths per 1000 live births,2009.5
Germany,Infant mortality rate,Total,2008-07,3.516128309,Deaths per 1000 live births,2008.5
Germany,Infant mortality rate,Total,2007-07,3.896877128,Deaths per 1000 live births,2007.5
Germany,Infant mortality rate,Total,2006-07,3.783044246,Deaths per 1000 live births,2006.5
Germany,Infant mortality rate,Total,2005-07,3.863613304,Deaths per 1000 live births,2005.5
Germany,Infant mortality rate,Total,2004-07,4.120600574,Deaths per 1000 live births,2004.5
Germany,Infant mortality rate,Total,2003-07,4.179760454,Deaths per 1000 live births,2003.5
Germany,Infant mortality rate,Total,2002-07,4.158389153,Deaths per 1000 live births,2002.5
Germany,Infant mortality rate,Total,2001-07,4.195868946,Deaths per 1000 live births,2001.5
Germany,Infant mortality rate,Total,2000-07,4.356701078,Deaths per 1000 live births,2000.5
Germany,Infant mortality rate,Total,1999-07,4.476046494,Deaths per 1000 live births,1999.5
Germany,Infant mortality rate,Total,1998-07,4.578697423,Deaths per 1000 live births,1998.5
Germany,Infant mortality rate,Total,1997-07,4.890118384,Deaths per 1000 live births,1997.5
Germany,Infant mortality rate,Total,1996-07,5.05057072,Deaths per 1000 live births,1996.5
Germany,Infant mortality rate,Total,1995-07,5.25512102,Deaths per 1000 live births,1995.5
Germany,Infant mortality rate,Total,1994-07,5.46842609,Deaths per 1000 live births,1994.5
Germany,Infant mortality rate,Total,1993-07,5.759981035,Deaths per 1000 live births,1993.5
Germany,Infant mortality rate,Total,1992-07,6.039980022,Deaths per 1000 live births,1992.5
Germany,Infant mortality rate,Total,1991-07,6.527305475,Deaths per 1000 live births,1991.5
Germany,Infant mortality rate,Total,1990-07,7.195610734,Deaths per 1000 live births,1990.5
Germany,Infant mortality rate,Total,1989-07,7.354816131,Deaths per 1000 live births,1989.5
Germany,Infant mortality rate,Total,1988-07,7.711619596,Deaths per 1000 live births,1988.5
Germany,Infant mortality rate,Total,1987-07,8.548218722,Deaths per 1000 live births,1987.5
Germany,Infant mortality rate,Total,1986-07,8.848538077,Deaths per 1000 live births,1986.5
Germany,Infant mortality rate,Total,1985-07,9.086657339,Deaths per 1000 live births,1985.5
Germany,Infant mortality rate,Total,1984-07,9.629105499,Deaths per 1000 live births,1984.5
Germany,Infant mortality rate,Total,1983-07,10.14579187,Deaths per 1000 live births,1983.5
Germany,Infant mortality rate,Total,1982-07,11.03273558,Deaths per 1000 live births,1982.5
Germany,Infant mortality rate,Total,1981-07,11.71385204,Deaths per 1000 live births,1981.5
Germany,Infant mortality rate,Total,1980-07,12.72319963,Deaths per 1000 live births,1980.5
Germany,Infant mortality rate,Total,1978-07,14.20218384,Deaths per 1000 live births,1978.5
Germany,Infant mortality rate,Total,1977-07,14.85988244,Deaths per 1000 live births,1977.5
Germany,Infant mortality rate,Total,1976-07,16.75082402,Deaths per 1000 live births,1976.5
Germany,Infant mortality rate,Total,1975-07,18.57382307,Deaths per 1000 live births,1975.5
Germany,Infant mortality rate,Total,1974-07,19.8578893,Deaths per 1000 live births,1974.5
Germany,Infant mortality rate,Total,1973-07,20.16659673,Deaths per 1000 live births,1973.5
Germany,Infant mortality rate,Total,1972-07,19.97562194,Deaths per 1000 live births,1972.5
